股票名称, 股票跌幅天数, 股票总涨跌幅,
利亚德_1300296.csv,2,-6.2972,
利君股份_1002651.csv,4,-12.5757,
利尔化学_1002258.csv,5,-14.7893,
利欧股份_1002131.csv,2,-5.1874,
利民股份_1002734.csv,2,-7.6586,
利源精制_1002501.csv,5,-22.122199999999996,
利群股份_0601366.csv,2,-5.3728,
利达光电_1002189.csv,2,-4.471299999999999,
利通电子_0603629.csv,2,-7.666399999999999,
剑桥科技_0603083.csv,2,-6.392600000000001,
力星股份_1300421.csv,2,-9.6387,
力生制药_1002393.csv,5,-8.985,
加加食品_1002650.csv,2,-8.0562,
动力源_0600405.csv,2,-9.204,
劲嘉股份_1002191.csv,2,-6.8085,
劲拓股份_1300400.csv,2,-5.8965000000000005,
劲胜智能_1300083.csv,2,-5.3051,
勘设股份_0603458.csv,2,-5.747300000000001,
勤上股份_1002638.csv,2,-10.5398,
包钢股份_0600010.csv,5,-7.1753,
北京利尔_1002392.csv,2,-3.7356,
北京文化_1000802.csv,2,-5.4779,
北京科锐_1002350.csv,2,-5.4138,
北京银行_0601169.csv,1,-0.7937,
北化股份_1002246.csv,6,-15.0664,
北大医药_1000788.csv,2,-8.3825,
北大荒_0600598.csv,2,-5.058,
北巴传媒_0600386.csv,5,-10.462100000000001,
北斗星通_1002151.csv,2,-4.1085,
北新路桥_1002307.csv,2,-14.2576,
北方国际_1000065.csv,2,-9.946,
北方导航_0600435.csv,2,-4.8516,
北方稀土_0600111.csv,1,-5.8369,
北方股份_0600262.csv,4,-11.3504,
北汽蓝谷_0600733.csv,2,-14.711400000000001,
北特科技_0603009.csv,2,-8.9327,
北玻股份_1002613.csv,2,-10.799600000000002,
北部湾港_1000582.csv,2,-9.1204,
北陆药业_1300016.csv,3,-10.2406,
千禾味业_0603027.csv,2,-10.7738,
千红制药_1002550.csv,2,-3.1132,
千金药业_0600479.csv,2,-4.9053,
华业资本_0600240.csv,2,-13.5672,
华东医药_1000963.csv,3,-6.9661,
华东电脑_0600850.csv,2,-7.8976,
华东科技_1000727.csv,2,-6.9093,
华东重机_1002685.csv,2,-6.6013,
华中数控_1300161.csv,2,-3.4885,
华仁药业_1300110.csv,3,-10.857700000000001,
华仪电气_0600290.csv,2,-8.9526,
华伍股份_1300095.csv,2,-5.4142,
华侨城A_1000069.csv,2,-4.0865,
华信新材_1300717.csv,2,-7.2074,
华光股份_0600475.csv,2,-5.8133,
华兰生物_1002007.csv,1,-4.1772,
华凯创意_1300592.csv,2,-6.0339,
华创阳安_0600155.csv,5,-9.145199999999999,
华力创通_1300045.csv,2,-5.9204,
华北制药_0600812.csv,2,-7.2994,
华友钴业_0603799.csv,2,-8.1872,
华发股份_0600325.csv,2,-3.373,
华域汽车_0600741.csv,2,-8.7682,
华培动力_0603121.csv,3,-10.3264,
华塑控股_1000509.csv,1,-7.672,
华夏幸福_0600340.csv,3,-4.2854,
华夏航空_1002928.csv,5,-7.2862,
华夏银行_0600015.csv,2,-3.3216,
华大基因_1300676.csv,2,-6.783899999999999,
华天酒店_1000428.csv,2,-7.283899999999999,
华孚时尚_1002042.csv,2,-3.6139,
华宏科技_1002645.csv,2,-5.2328,
华宝股份_1300741.csv,6,-8.9413,
华峰氨纶_1002064.csv,4,-8.5121,
华峰超纤_1300180.csv,2,-7.1068999999999996,
华帝股份_1002035.csv,5,-15.597999999999999,
华平股份_1300074.csv,3,-11.928899999999999,
华建集团_0600629.csv,2,-4.7368,
华录百纳_1300291.csv,2,-5.4934,
华懋科技_0603306.csv,1,-2.9099,
华扬联众_0603825.csv,5,-7.502,
华控赛格_1000068.csv,3,-22.016399999999997,
华数传媒_1000156.csv,3,-7.7249,
华斯股份_1002494.csv,2,-7.4633,
华昌达_1300278.csv,2,-11.1445,
华明装备_1002270.csv,2,-6.6898,
华映科技_1000536.csv,2,-10.6668,
华林证券_1002945.csv,3,-14.2042,
华森制药_1002907.csv,2,-5.8666,
华正新材_0603186.csv,4,-7.386,
华泰股份_0600308.csv,2,-4.5872,
华海药业_0600521.csv,3,-9.130700000000001,
华润三九_1000999.csv,5,-3.3449,
华润双鹤_0600062.csv,2,-4.5103,
华源控股_1002787.csv,5,-9.160499999999999,
华灿光电_1300323.csv,2,-6.7528,
华瑞股份_1300626.csv,2,-7.457800000000001,
华电B股_0900937.csv,2,-0.8,
华电国际_0600027.csv,2,-6.6176,
华电能源_0600726.csv,2,-6.8092,
华电重工_0601226.csv,7,-15.613499999999998,
华策影视_1300133.csv,3,-9.0017,
华纺股份_0600448.csv,2,-3.7219999999999995,
华统股份_1002840.csv,2,-14.599900000000002,
