股票名称,最低价天数,收盘价天数,
凌霄泵业_1002884.csv,27,27,
凤凰B股_0900916.csv,29,29,
凤凰传媒_0601928.csv,53,33,
凤凰光学_0600071.csv,28,0,
凤凰股份_0600716.csv,26,26,
凤形股份_1002760.csv,19,0,
凤竹纺织_0600493.csv,26,26,
凯中精密_1002823.csv,39,37,
凯乐科技_0600260.csv,19,0,
凯众股份_0603037.csv,40,40,
凯伦股份_1300715.csv,2,2,
凯利泰_1300326.csv,21,21,
凯发电气_1300407.csv,33,33,
凯恩股份_1002012.csv,18,17,
凯撒文化_1002425.csv,45,0,
凯撒旅游_1000796.csv,17,17,
凯文教育_1002659.csv,19,18,
凯普生物_1300639.csv,18,18,
凯瑞德_1002072.csv,50,48,
凯盛科技_0600552.csv,49,49,
凯美特气_1002549.csv,2,2,
凯莱英_1002821.csv,5,0,
凯马B_0900953.csv,25,25,
凯龙股份_1002783.csv,8,8,
出版传媒_0601999.csv,18,0,
分众传媒_1002027.csv,53,53,
刚泰控股_0600687.csv,10,10,
创业环保_0600874.csv,0,0,
创业软件_1300451.csv,0,0,
创业黑马_1300688.csv,48,0,
创元科技_1000551.csv,4,0,
创力集团_0603012.csv,1,1,
创意信息_1300366.csv,19,0,
创新医疗_1002173.csv,19,0,
创源文化_1300703.csv,19,19,
创维数字_1000810.csv,36,28,
初灵信息_1300250.csv,17,15,
利亚德_1300296.csv,19,19,
利君股份_1002651.csv,39,39,
利尔化学_1002258.csv,54,54,
利德曼_1300289.csv,29,0,
利欧股份_1002131.csv,36,36,
利民股份_1002734.csv,18,18,
利源精制_1002501.csv,44,44,
利群股份_0601366.csv,37,37,
利达光电_1002189.csv,25,25,
利通电子_0603629.csv,53,53,
剑桥科技_0603083.csv,8,8,
力帆股份_0601777.csv,7,7,
力源信息_1300184.csv,0,0,
力生制药_1002393.csv,38,38,
力盛赛车_1002858.csv,21,0,
加加食品_1002650.csv,38,38,
动力源_0600405.csv,21,21,
劲嘉股份_1002191.csv,21,21,
劲拓股份_1300400.csv,29,29,
劲胜智能_1300083.csv,40,19,
勘设股份_0603458.csv,17,17,
勤上股份_1002638.csv,18,18,
包钢股份_0600010.csv,42,42,
北京利尔_1002392.csv,33,33,
北京君正_1300223.csv,37,0,
北京城乡_0600861.csv,18,8,
北京城建_0600266.csv,29,0,
北京文化_1000802.csv,69,69,
北京科锐_1002350.csv,44,44,
北京银行_0601169.csv,18,18,
北信源_1300352.csv,28,0,
北化股份_1002246.csv,23,23,
